send_today,priority_bucket,channel_strategy,message_type,organization_name,lane,distance_miles,email,phone,website,role_target,custom_message_draft,status,owner,notes
YES,Send Now,Email,Direct Intro,Monclare Children's School,School,7.42,info@montclareschool.org,+1 212-865-4020,https://www.montclareschool.org/,School Social Worker,"Hi Monclare Children's School team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Manhattan Country School,School,7.45,mcs@manhattancountryshool.org,+1 212-348-0952,https://www.manhattancountryschool.org/,School Social Worker,"Hi Manhattan Country School team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,American Buddhist Study Center,School,7.66,info@ambuddhist.org,+1-212-864-7424,https://www.ambuddhist.org,School Social Worker,"Hi American Buddhist Study Center team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Cooke School and Institute Lower School,School,7.69,schooladmin@cookeschool.org,+1-646-273-5555,https://cookeschool.org/,School Social Worker,"Hi Cooke School and Institute Lower School team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Kanut,School,7.74,info@kamitprep.com,+1-347-796-1978,https://kamitprep.com/,School Social Worker,"Hi Kanut team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Lower East Side Preparatory High School,School,7.88,ranaya@schools.nyc.gov,+1 212 505 6366,https://lespnyc.com,School Social Worker,"Hi Lower East Side Preparatory High School team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,International Wine Center (IWC),School,7.96,Info@internationalwinecenter.com,+1 212-239-3055,https://internationalwinecenter.com/,School Social Worker,"Hi International Wine Center (IWC) team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Success Academy East Flatbush Middle School,School,9.38,SAEFMS.MainOffice@saschools.org,+1-718-395-6345,https://www.successacademies.org/school/east-flatbush-middle-school/,School Social Worker,"Hi Success Academy East Flatbush Middle School team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Forest Hills Medical Services,Medical,1.16,info@obgynqueensnyc.com,+1-718-897-5331,https://www.obgynqueensnyc.com,Pediatric Intake Coordinator,"Hi Forest Hills Medical Services team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,VIVA EVE: Fibroid Treatment Specialists,Medical,1.16,patientcare@vivaeve.com,+1-718-269-4990,https://vivaeve.com,Pediatric Intake Coordinator,"Hi VIVA EVE: Fibroid Treatment Specialists team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Metropolitan Vein and Aesthetic Center,Medical,1.18,info@nymetrovein.com,+1-718-424-8162,https://www.nymetrovein.com/,Pediatric Intake Coordinator,"Hi Metropolitan Vein and Aesthetic Center team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Suboxone Treatment Clinic,Medical,1.7,info@suboxonetreatmentclinicnyc.com,+1-212-224-9545,https://www.suboxonetreatmentclinicnyc.com,Pediatric Intake Coordinator,"Hi Suboxone Treatment Clinic team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Cohen Medical Practice,Medical,1.74,info@nycgyne.com,+1-347-545-2520,https://nycgyne.com/gynecologist-rego-park-queens/,Pediatric Intake Coordinator,"Hi Cohen Medical Practice team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Premier Vascular Vein Treatment,Medical,1.8,info@premiervascularny.com,+1-718-355-9754,https://premiervascularny.com/,Pediatric Intake Coordinator,"Hi Premier Vascular Vein Treatment team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Forest Hills Audiology,Medical,1.98,dr.borukhov@aol.com,+1-718-577-2235,https://www.foresthillsaudiology.com/,Pediatric Intake Coordinator,"Hi Forest Hills Audiology team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Precision Pain Medicine,Medical,2.81,info@paincenterny.com,+1-718-878-4656,https://www.paincenterny.com,Pediatric Intake Coordinator,"Hi Precision Pain Medicine team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Prime Care Medical Group P.C.,Medical,3.67,primecareny@aol.com,+1-718-739-7400,https://www.primecarenyc.com/,Pediatric Intake Coordinator,"Hi Prime Care Medical Group P.C. team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,DHCare Home Care Agency,Support Organization,3.73,info@dhcareny.com,+1-718-459-0180,,Program Intake Coordinator,"Hi DHCare Home Care Agency team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Program Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Astra Vein Treatment Center,Medical,4.04,info@astraveinvascular.com,+1 929-486-2201,https://www.astraveinvascular.com/,Pediatric Intake Coordinator,"Hi Astra Vein Treatment Center team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Pain Management NYC,Medical,4.14,info@painmanagementnyc.com,+1-718-998-9880,https://www.painmanagementnyc.com/astoria-pain-management/,Pediatric Intake Coordinator,"Hi Pain Management NYC team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Amazing Medical Services,Medical,4.77,AMZMedical@gmail.com,+1-718-526-7600,http://www.amzmedical.com,Pediatric Intake Coordinator,"Hi Amazing Medical Services team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Suboxone Treatment Clinic,Medical,5.96,info@suboxonetreatmentclinicnyc.com,+1-212-224-9545,https://www.suboxonetreatmentclinicnyc.com,Pediatric Intake Coordinator,"Hi Suboxone Treatment Clinic team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,NY Common Pantry,Support Organization,6.5,Communications@NYCommonPantry.org,+1 917-720-9700,https://nycommonpantry.org,Program Intake Coordinator,"Hi NY Common Pantry team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Program Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,The Brooklyn Waldorf School,School,7.66,info@brooklynwaldorf.org,+1-718-783-3270,,School Social Worker,"Hi The Brooklyn Waldorf School team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Hannah Kroner School Of Dance,School,10.19,hkdancestudioli@gmail.com,+1-516-484-5430,,School Social Worker,"Hi Hannah Kroner School Of Dance team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,"Advanced Walk In Foot Care, PLLC",Medical,1.85,wperez_1000@gmail.com,+1-718-415-2326,,Pediatric Intake Coordinator,"Hi Advanced Walk In Foot Care, PLLC team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Lamd Medical Group and Urgent Care,Medical,3.14,scanslamd@gmail.com,+1 718-639-3603,,Pediatric Intake Coordinator,"Hi Lamd Medical Group and Urgent Care team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Century Medical & Dental Center,Medical,6.06,kaitlyns@centurymedicaldental.com,+1-718-705-2555,https://www.centurymedicaldental.com/bronx-ny-10455/,Pediatric Intake Coordinator,"Hi Century Medical & Dental Center team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Hadi Medical Group - Brooklyn,Medical,6.15,info@hadimedicalgroup.com,+1-347-627-4705,https://hadimedicalgroup.com/locations/brooklyn/,Pediatric Intake Coordinator,"Hi Hadi Medical Group - Brooklyn team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,Century Medical & Dental Center,Medical,6.21,kaitlyns@centurymedicaldental.com,+1-212-540-5020,https://www.centurymedicaldental.com/,Pediatric Intake Coordinator,"Hi Century Medical & Dental Center team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
YES,Send with Routing Ask,Email,Routing Request,"Sean McCance, MD",Medical,6.38,info@herniateddiscsurgeryspecialistsnyc.com,+1-646-493-7640,https://www.herniateddiscsurgeryspecialistsnyc.com,Pediatric Intake Coordinator,"Hi Sean McCance, MD team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Pediatric Intake Coordinator or family support lead?",Draft,Maya,
